'hood	log
's_gravenhage	log
.22	art
0	qud
1	qud
1-dodecanol	rel sub
1-hitter	act
10	qud
100	qud
1000	qud
10000	qud
100000	qud
1000000	qud
1000000000	qud
1000000000000	qud
11	qud
11-plus	act
11_november	tme
12	qud
12-tone_music	com
12-tone_system	com
120	qud
13	qud
14	qud
144	qud
14_july	tme
15	qud
1530s	tme
15_august_1945	tme
15_may_organization	grs
15_minutes	tme
16	qud
16_pf	act com
17	qud
1728	qud
1750s	tme
1760s	tme
1770s	tme
1780s	tme
1790s	tme
17_november	grs
18	qud
18-karat_gold	rel sub
1820s	tme
1830s	tme
1840s	tme
1850s	tme
1860s	tme
1870s	tme
1880s	tme
1890s	tme
19	qud
1900s	tme
1920s	tme
1930s	tme
1940s	tme
1950s	tme
1960s	tme
1970s	tme
1980s	tme
1990s	tme
1_chronicles	com
1_esdras	com
1_kings	com
1_maccabees	com
1_samuel	com
1st-class_mail	com
1st_baron_beaverbrook	hum
1st_baron_verulam	hum
1st_class	com
1st_earl_attlee	hum
1st_earl_baldwin_of_bewdley	hum
1st_earl_of_balfour	hum
1st_lieutenant	hum
1st_viscount_montgomery_of_alamein	hum
2	qud
2-hitter	act
2-hydroxybenzoic_acid	chm
2-methylpropenoic_acid	chm
20	qud
20/20	psy
21	qud
22	qud
22-karat_gold	rel sub
23	qud
24	qud
24-hour_interval	tme
24-karat_gold	chm
24/7	tme
25	qud
26	qud
27	qud
28	qud
29	qud
2_chronicles	com
2_esdras	com
2_kings	com
2_maccabees	com
2_samuel	com
2nd_lieutenant	hum
3	qud
3-d	art evt psy
3-hitter	act
30	qud
30_minutes	tme
365_days	tme
366_days	tme
3d	art evt psy
3d_radar	art
3rd_october_organization	grs
3tc	agt sub
4	qud
4-hitter	act
40	qud
401-k	psy
401-k_plan	psy
440_yards	lme
4to	atr
4wd	art
5	qud
5-hitter	act
5-hydroxy-3-methylglutaryl-coenzyme_a_reductase	chm
5-hydroxytryptamine	chm
50	qud
500	qud
6	qud
60	qud
60_minutes	tme
6_june_1944	tme
7	qud
70	qud
78	art qud
8	qud
80	qud
880_yards	lme
8_may_1945	tme
8vo	atr
9	qud
9-11	act
9/11	act
90	qud
a	chm com fod lme qud rel sub
a'man	grs
a-bomb	art
a-horizon	loc
a-line	art
a-list	com
a-scan_ultrasonography	act
a-team	grs
a._a._michelson	hum
a._a._milne	hum
a._conan_doyle	hum
a._e._burnside	hum
a._e._housman	hum
a._e._kennelly	hum
a._e._w._mason	hum
a._noam_chomsky	hum
a._testudineus	anm
a.e.	hum
a/c	art
a_battery	art
a_capella_singing	act
a_cappella_singing	act
a_horizon	loc
a_kempis	hum
a_la_carte	com
a_level	sta
aa	com grs rel sub
aaa	sta
aachen	log
aaland_islands	nat
aalborg	log
aalii	plt
aalst	log
aalto	hum
aar	nat
aardvark	anm
aardwolf	anm
aare	nat
aare_river	nat
aarhus	log
aaron	hum sta
aaron's_rod	plt
aaron_burr	hum
aaron_copland	hum
aaron_montgomery_ward	hum
aarp	grs
aas	com
aave	com
ab	com prt rel sub tme
aba	art
aba_transit_number	com
